Mesh,Class,Number of faces,Number of vertices,Type of faces,Bounding box volume,Centroid,Normalized number of faces,Normalized number of vertices,Normalized bounding box volume,Normalized centroid
1693,geographic_map,7643,4056,triangles,0.0,[-0.02350966  0.00743419  0.        ],7643,4056,0.0,[2.11177777e-17 1.40351789e-17 0.00000000e+00]
1603,chess_piece,7642,3828,triangles,0.1358106277580324,[-0.00039883  0.05472785  0.00089766],7642,3828,0.10902015580389185,[ 3.29425257e-17 -3.78369111e-16  5.93086911e-17]
1661,city,8088,4686,triangles,0.04299348455320608,[ 0.00088136  0.00066623 -0.00596853],8088,4686,0.04148987605643426,[-2.62392659e-18 -4.82898002e-18 -2.41661862e-17]
1654,city,9279,5535,triangles,0.1205448750905786,[-3.57337366e-17 -3.14694822e-18  3.41315854e-17],9279,5535,0.12054487509057864,[-4.99449924e-18 -1.26304166e-19  5.14242869e-18]
1696,geographic_map,7621,3299,triangles,0.0011296501135424687,[-5.75694478e-03  1.86144351e-02  3.41081815e-05],7621,3299,0.001012777952994849,[1.72452231e-17 2.68805893e-17 3.77244186e-20]
1617,skateboard,7152,3594,triangles,0.02653526809031435,[-7.11120251e-06  2.19082859e-05  2.94765511e-04],7152,3594,0.026534135936528463,[-9.79090672e-17  2.77343380e-18 -4.89854246e-17]
1619,skateboard,6352,3192,triangles,0.0637174831922663,[ 2.74840964e-05  2.70565729e-04 -6.32360601e-05],6352,3192,0.06369331385044219,[ 6.13283442e-17  1.20321985e-18 -1.24865309e-17]
1645,ladder,6936,3462,triangles,0.01710030977385926,[-2.29823833e-04 -7.14229046e-04  9.72288764e-05],6936,3462,0.017027237407154443,[ 2.13498261e-17 -1.09206405e-16  6.52350229e-18]
1632,hat,7641,3773,triangles,0.5353875341688966,[ 0.00408348 -0.00456103  0.0268421 ],7641,3773,0.4576535586040876,[ 2.89840890e-17 -4.52865357e-16  4.97584716e-17]
1675,sign,7643,3946,triangles,0.0017991551469977573,[0.00178115 0.02668419 0.00102631],7643,3946,0.0015393159669694094,[-5.51102217e-18  2.15411684e-17  1.07057958e-17]
1612,chess_piece,7642,3785,triangles,0.1338198386758134,[ 0.00058748  0.03223334 -0.00016581],7642,3785,0.11105389879810557,[-7.88302346e-20 -4.40217362e-16  4.59690263e-19]
1630,hat,7642,3823,triangles,0.4003864253117734,[ 0.00104648 -0.00045917 -0.00585749],7642,3823,0.38663823634346245,[ 3.89870366e-18  1.11515993e-17 -1.30610203e-17]
1615,skateboard,7617,3970,triangles,0.052621469985583674,[-0.00050229 -0.01076939 -0.01319433],7617,3970,0.0486662005180951,[-1.62714440e-16 -4.35314000e-18  3.74875054e-17]
1625,fantasy_animal,7619,4077,triangles,0.27754517470710277,[0.00249842 0.00987048 0.01728043],7619,4077,0.4414090479053219,[-5.37819591e-18  7.78136447e-18 -6.22492138e-18]
1681,sign,7642,3845,triangles,0.00502454580887813,[0.00268123 0.02053028 0.00075238],7642,3845,0.00445316529994799,[-1.56824416e-17 -1.24809858e-17  1.51593176e-17]
1640,hat,8000,4002,triangles,0.4007731647592886,[ 1.17374191e-09 -2.34190880e-04 -2.91326274e-05],8000,4002,0.400703119470082,[ 2.71972738e-17 -4.21396495e-17  1.05418478e-17]
1657,city,8544,4488,triangles,0.0427095410096645,[-0.00070453  0.00054831 -0.00168164],8544,4488,0.04314338957900685,[-3.48243419e-17 -7.44667158e-17 -1.88760178e-16]
1682,sign,8804,4492,triangles,0.1159532586041584,[ 3.99403475e-17  3.09346147e-17 -1.12208649e-17],8804,4492,0.1159532586041584,[ 1.17398917e-17 -1.31703049e-17  1.29138809e-18]
1655,city,7570,7642,triangles,0.18851893615464183,[-0.02122125 -0.00401116 -0.01810652],7570,7642,0.21471400977225888,[-1.66853068e-16  7.20348350e-17 -2.24111200e-17]
1638,hat,7633,3807,triangles,0.3893212048177575,[ 0.00032252 -0.04054297 -0.00066385],7633,3807,0.38788965370032863,[-5.94918563e-18  2.21869629e-16  1.00464275e-17]
1679,sign,7642,3869,triangles,0.001537821293666321,[0.000867   0.0072431  0.00044999],7642,3869,0.001472880241746431,[-2.48410922e-18 -5.48924078e-17  1.61814862e-18]
1671,sign,7232,4095,triangles,0.005062917345830559,[ 6.99817386e-04 -2.66452911e-03  3.28943046e-05],7232,4095,0.005144729500186341,[-5.02175970e-17 -6.28448589e-17  4.31668674e-19]
1683,sign,5896,3000,triangles,0.22681420484914933,[1.65793305e-17 1.89663100e-19 4.19571785e-18],5896,3000,0.22681420484914933,[1.65700786e-17 1.89663100e-19 3.01147995e-18]
1604,chess_piece,6704,3361,triangles,0.14509042715177475,[-0.00024062  0.00269124  0.00048359],6704,3361,0.14277258565501988,[ 3.49896977e-17 -2.40807077e-17 -4.66997263e-18]
1627,hat,7992,4006,triangles,0.301040815716687,[ 8.48105376e-06 -5.10896877e-04 -6.11765272e-04],7992,4006,0.3021485231367489,[8.23390959e-18 7.27492621e-20 4.12211176e-17]
1678,sign,7595,4110,triangles,0.0007701347590996242,[ 0.0001615  -0.02988703 -0.0001824 ],7595,4110,0.0009265525043883257,[1.62329598e-18 2.83498556e-17 1.15648232e-18]
1659,city,7630,4271,triangles,0.2355027361098305,[-0.05697264 -0.00145528 -0.02987391],7630,4271,0.17037441980647536,[-3.77374450e-16 -1.52780358e-17  1.30752091e-17]
1616,skateboard,7642,3889,triangles,0.049272281962018924,[ 0.02162266  0.0055762  -0.00040045],7642,3889,0.05626015192574571,[-6.50461086e-17  2.68349098e-17  6.49461913e-18]
1694,geographic_map,7643,3876,triangles,0.02069568090696042,[ 0.04680788  0.01574337 -0.00074156],7643,3876,0.015822876404589462,[ 2.31511290e-17 -2.17905616e-17 -2.01167056e-17]
1662,city,7642,4697,triangles,0.039336752796444927,[ 0.00052339  0.00279374 -0.00500905],7642,4697,0.03817781307671212,[ 1.56594157e-17 -9.40909286e-17 -5.30765553e-17]
1646,city,7631,5077,triangles,0.10328139094298265,[0.0055699  0.00100463 0.0003099 ],7631,5077,0.10681134242276706,[-1.22759789e-17  1.27163226e-17 -2.87013536e-19]
1602,chess_piece,7636,3823,triangles,0.11192399763903743,[ 0.00021668  0.00631629 -0.0006182 ],7636,3823,0.10778728115051571,[-1.25736823e-18  1.74621267e-16  3.46173304e-18]
1621,fantasy_animal,7642,3859,triangles,0.12194353395961749,[-0.00141286 -0.00615524 -0.00583544],7642,3859,0.1268619810099604,[-2.40272013e-18 -1.78551999e-17  4.83618788e-17]
1652,city,7490,5018,triangles,0.058498748221013766,[-2.64904274e-03  1.87098713e-05  9.07911315e-03],7490,5018,0.05542436797507542,[-3.72139324e-17 -2.17756540e-18  5.35365118e-17]
1674,sign,7643,3860,triangles,0.009874424534621739,[6.15335406e-03 2.87772631e-02 3.75534208e-05],7643,3860,0.008348404628520462,[ 9.93052790e-17 -7.86791473e-17  1.03083471e-19]
1633,hat,7643,3927,triangles,0.26340946426985606,[ 0.00105125  0.02015921 -0.00104336],7643,3927,0.2650653629934255,[-2.25465460e-17 -1.24497221e-16 -1.29130218e-17]
1620,fantasy_animal,7616,2907,triangles,0.6162220956394678,[0.0028006  0.05550632 0.03614076],7616,2907,0.487195436922136,[-5.03648646e-19 -4.31562442e-17  4.04255615e-17]
1690,geographic_map,6752,3552,triangles,0.07738919640057573,[-0.00469951  0.00459983  0.00961454],6752,3552,0.07813391163318116,[ 1.5262441e-16 -4.9994418e-17  3.4473429e-16]
1676,sign,8034,4031,triangles,0.0013904913903074695,[3.03333463e-17 1.47832351e-17 2.41639105e-18],8034,4031,0.0013904913903074693,[-2.16722089e-18  4.81987173e-20 -4.21093258e-19]
1648,city,7853,6615,triangles,0.12782476097011303,[4.29456168e-17 1.72030023e-19 2.85905506e-17],7853,6615,0.1278247609701131,[-1.29158882e-17  1.17483918e-18  1.11357971e-17]
1699,chest,7643,4136,triangles,0.3081517136440549,[ 0.00118032 -0.02945911 -0.0011208 ],7643,4136,0.3103443716377034,[ 8.81789806e-18  5.05988975e-17 -9.41515295e-18]
1601,chess_piece,7642,3823,triangles,0.24126559957126548,[ 3.75331000e-05 -5.34603656e-02 -3.07038770e-04],7642,3823,0.17788766694339875,[ 3.96041499e-18 -1.29840626e-16 -1.94935183e-18]
1614,chess_piece,7642,3823,triangles,0.12086074139461604,[-0.00075434  0.04559622  0.00134469],7642,3823,0.0930210419581697,[-2.25790845e-18  1.29521179e-17 -5.25272272e-18]
1666,newtonian_toy,6296,3192,triangles,0.3120076589266206,[ 0.00366849 -0.00335132 -0.00204988],6296,3192,0.3081354043729461,[-1.15387371e-16 -1.42925563e-16  6.78063843e-17]
1670,sign,7643,4409,triangles,0.0038192948435028995,[-0.00287266  0.03516853  0.00042654],7643,4409,0.0031147378136977145,[ 8.15386920e-18 -6.48406507e-19  1.18035165e-20]
1613,chess_piece,8960,4482,triangles,0.15160245495790906,[-1.23356559e-09  2.52521501e-04 -1.23356541e-09],8960,4482,0.1513729894997792,[ 3.57156419e-16  1.36808607e-16 -1.05461279e-17]
1665,city,7639,4323,triangles,0.06725638811791344,[ 0.03608858 -0.0008889   0.01533733],7639,4323,0.06142833529079606,[-7.53603524e-17 -8.00147724e-19  6.88720934e-17]
1618,skateboard,7642,4013,triangles,0.04354370261310169,[-0.00216585 -0.01052973 -0.00557582],7642,4013,0.04503355718608135,[-1.12045932e-18  8.00402190e-18  1.18409034e-17]
1634,hat,7642,3854,triangles,0.40047580711924496,[ 0.00032414  0.00669649 -0.00872274],7642,3854,0.4221884207658263,[ 6.56080161e-18  1.83716848e-17 -9.20384682e-18]
1606,chess_piece,7643,3835,triangles,0.3144785416988293,[ 0.00077694 -0.01672472 -0.00157007],7643,3835,0.34827098162729536,[5.59815847e-18 9.80817629e-17 2.65975855e-18]
1689,geographic_map,7637,3825,triangles,0.041017153702946736,[ 0.00709748 -0.02135686 -0.00035087],7637,3825,0.03963549117705585,[-5.77170846e-17  1.05910197e-16 -2.62067057e-16]
1691,geographic_map,7642,3833,triangles,0.00961406044408142,[ 0.00369265 -0.0032673  -0.00030381],7642,3833,0.00942802482891017,[ 6.01020813e-18  6.30637381e-17 -1.31215335e-17]
1664,city,5262,3322,triangles,0.1428054739169751,[ 0.00331785 -0.00213464  0.00114971],5262,3322,0.1418248761140868,[-2.56584505e-17  1.08198285e-18 -1.97096336e-17]
1669,newtonian_toy,7634,3836,triangles,0.22231687710595707,[-0.00154168 -0.01118611 -0.00354672],7634,3836,0.20803926076638077,[ 1.07903780e-16  1.95374362e-16 -6.49390749e-18]
1637,hat,8000,4002,triangles,0.5288936401770434,[ 9.28012296e-10 -3.36977764e-04 -8.25850182e-05],8000,4002,0.5286316545806002,[ 2.80402749e-16 -4.10577230e-18 -1.15682909e-17]
1635,hat,7636,3818,triangles,0.44770914589521477,[ 4.41647550e-05 -1.87218154e-02 -5.48191169e-03],7636,3818,0.5020158741536559,[ 1.31290125e-17 -2.34519348e-17  1.80433050e-17]
1626,hat,7643,3939,triangles,0.18705241568063338,[ 0.07473518 -0.03475156  0.00371044],7643,3939,0.1231600880643556,[-1.40927015e-18  2.51750258e-16  4.91835283e-18]
1631,hat,7639,4405,triangles,0.41663290864139196,[ 0.00060496  0.00216753 -0.00054032],7639,4405,0.4152851308446623,[-1.50214057e-17  2.20658401e-17 -2.18925647e-17]
1624,fantasy_animal,7642,3805,triangles,0.19403892435451056,[ 0.05462146 -0.02073432  0.00164003],7642,3805,0.2745433990219859,[-1.25531065e-16 -3.17493148e-17 -4.51529601e-18]
1658,city,7639,7383,triangles,0.13512155721593025,[-0.00197474 -0.00086235  0.00069805],7639,7383,0.1367352693455308,[-6.51662043e-17  1.89538306e-17 -1.09398246e-17]
1686,geographic_map,7642,3865,triangles,0.019582167475548775,[-0.00123551 -0.00982337 -0.00071933],7642,3865,0.020783226729013764,[ 6.41645713e-17 -1.96418722e-18 -1.90168781e-17]
1649,city,7619,6310,triangles,0.05223263242076599,[ 0.01039455 -0.00664584 -0.00536921],7619,6310,0.0556305302359513,[ 1.60392368e-16  6.08775224e-17 -4.61494177e-17]
1684,sign,7642,3865,triangles,0.05599088350828031,[0.01013047 0.0189315  0.00202239],7642,3865,0.0628646596500895,[-1.82820555e-16  1.92429083e-16  1.50159055e-17]
1611,chess_piece,7642,3823,triangles,0.22057017697780862,[-0.01992012  0.00044612  0.00097748],7642,3823,0.19631426366993876,[ 2.73562670e-17 -7.96656896e-17 -3.91671793e-17]
1673,sign,7643,4126,triangles,0.005807666067748988,[0.01120521 0.06386211 0.00168139],7643,4126,0.004049420814410619,[-7.57871508e-17 -9.85908183e-17 -3.56156472e-17]
1660,city,7638,4098,triangles,0.02698242151085467,[-0.00101168  0.00037861  0.00347303],7638,4098,0.02681929619501687,[9.59050636e-18 1.25299695e-19 3.37327097e-17]
1685,sign,7642,3910,triangles,0.1611534548832962,[0.00703595 0.00489244 0.00347244],7642,3910,0.15651394164824434,[1.26923195e-17 3.82189307e-17 2.64405576e-17]
1695,geographic_map,7642,3847,triangles,0.006623597858515389,[-0.00375388  0.00469933 -0.00036271],7642,3847,0.006813922904103744,[7.76319193e-18 1.31743387e-17 1.61301777e-17]
1651,city,7591,5112,triangles,0.19349237855339238,[0.00216162 0.0013233  0.01073884],7591,5112,0.1910043761221438,[ 1.84653713e-17 -5.59509403e-18  1.35628771e-16]
1656,city,7640,4684,triangles,0.04182829057830113,[ 0.00870029  0.00020581 -0.00614739],7640,4684,0.039718622046182255,[ 2.96280696e-19 -1.92582452e-19  3.01910029e-17]
1636,hat,7642,3824,triangles,0.4308633668812865,[-0.00156755 -0.00607434  0.02973217],7642,3824,0.3874206297538289,[-1.09403711e-16  1.14059883e-16  5.08078006e-20]
